Accession	assignment
NP_251184.1	MexF
NP_252894.1	MexG
NP_252895.1	MexH
NP_252896.1	MexI
NP_252367.1	MexJ
AAG07064.1	MexK
BAE06005.1	mexM
BAE06006.1	mexN
BAE06007.1	mexP
BAE06008.1	mexQ
AAG07762.1	MexV
AAG07763.1	MexW
BAA34299.1	mexX
BAA34300.1	mexY
NP_415434.1	msbA
NP_274719.1	mtrC
NP_274718.1	mtrD
CAA64891.1	mtrE
NP_251218.1	MuxA
NP_251217.1	MuxB
NP_251216.1	MuxC
AAS68233.1	norA
CCQ22388.1	norB
AAC43969.1	opcM
NP_251215.1	OpmB
NP_252897.1	OpmD
BAE06009.1	opmE
BAM10414.1	OprA
AAB41958.1	OprJ
NP_249118.1	OprM
NP_251185.1	OprN
EGP45230	OprZ
YP_001693237.1	oqxA
YP_001693238	oqxB
NP_250052.1	PmpM
NP_358469.1	pmrA
BAJ09383.1	qacA/B
AAQ10694.1	qacA/B
AAZ42322.1	qacH
AEZ36150.1	QepA
WP_032492277.1	QepA
YP_186749.1	sav1866
AAD51344.1	smeA
AAD51345.1	smeB
AAD51346.1	smeC
CAC14594.1	smeD
CAC14595.1	smeE
CAC14596.1	smeF
CAA03986.1	tap
ACN32294.1	TolC
CAB13166.1	ykkC
CAB13167.1	ykkD
ALH22601.1	adeL
YP_001332362.1	arlR
YP_499945.1	arlS
NP_252408.1	ArmR
YP_490321.1	baeR
BAA15934.1	baeS
NP_312864.1	cpxA
ANK04473.1	CpxR-Eco
SIP52035.1	CpxR-Pae
NP_311275.1	evgA
AAC75429.1	evgS
ANK04027.1	gadW
YP_491919.1	gadX
NP_459349.1	golS
NP_309766.1	H-NS
YP_489794.1	marA
CCP46065.1	mtrA
AFK13828.1	ramA
AFK13827.1	rob
NP_418813.1	rob
NP_460903.1	sdiA
AAD51348.1	smeR
AAD51347.1	smeS
NP_250963.1	soxR
CAL44992.1	lnuA
AAY32951.1	lnuC
CAD91132.1	lnuF/G
ABG65740.1	lnuF/G
AGI42804.1	lnuB
ABR14060.1	lnuD
AGT57825	lnuE
APU52409.1	lnuG
AAZ91706.1	EreA
AAC78336.1	EreA
CAA01212.1	EreB
CAA11707.1	gimA
ABA28305.2	mgtA
BAA03776.1	mphA
BAA12910.1	mphB
EEL41021.1	mph-BceA
EOO80837.1	mph-BceB
CAJ51085.1	mphC
ANP63073.1	mphD
WP_010550189.1	mphE
BAL43359	mphG
APB03226.1	mphI
AAS13767.1	Mrx
ABA42119.1	oleD
ABA42118.2	oleI
AAA26683.1	vatA
AAA86871.1	vatB
AAC61671.1	vatC
AAK84316.1	vatD
AAF86220.1	vatE
AAF63432	vatF
ACX92987.1	vatH
APB03220.1	VatI
AAA98349.1	vgbA
AAC61670.1	vgbB
APB03225.1	vgbC
AAS79458.1	chrB
BAA03674.1	myrA
AJD73064.1	RlmA
AAD12162.1	tlrB
AAA88675.1	EmrF
AAC69328.1	Erm(30)
AAC69327.1	Erm(31)
NP_899170.1	Erm(33)
AAP74657.1	Erm(34)
AAK07612.1	Erm(35)
AAL68827.1	Erm(36)
CCP44758.1	Erm(37)
AAN86837.1	Erm(38)
AAR92235.1	Erm(39)
ABW06859.1	Erm(41)
CBY77552.1	Erm(42)
CCF55073.1	Erm(43)
CUU67654.1	Erm(44)
ANZ79476.1	Erm(47)
YP_001315192.1	ErmA
AAF86219.1	ErmB
AAA98296.1	ErmC
AAA22597.1	ErmD
CAB60001.1	ErmE
AAC37034.1	ErmG
AAC32026.1	ErmH
CAA66307.1	ErmN
CAA11706.1	ErmO
AAC36915.1	ErmQ
ALX06067.1	ErmR
AAA26742.1	ErmS
AAA98096.1	ErmT
CAA44667.1	ErmU
AAB51440.1	ErmV
BAA03402.1	ErmW
AAG03357.1	ErmX
BAB20748.1	ErmY
APB03216.1	LlmA
AAC32027.1	carA
KIX81495.1	ImrB
ABF66011.1	ImrC
ABF66027.1	lmrD
CAH14032.1	LpeA
CAH14033.1	LpeB
AAT46077.1	lsaA
NP_899166.1	lsaB
AEA37904.1	lsaC
AFU35065.1	lsaE
AAV85981.1	macA
AAV85982.1	macB
ACJ63262.1	mef(B)
YP_008997285.1	mefA
BAL43360	mefC
NP_358565.1	mefE
YP_002743273.1	mel
YP_008709794.1	msrA
NP_416292.1	msrB
AAK01167.1	msrC
YP_724476.1	msrE
AAA50325.1	oleB
AAA26793	oleC
AGN74946	salA
CAA45050.1	smrB
AAA26832.1	tlrC
ABH10964.1	vga
AGN33258.1	vga
AAB95639.1	vgaB
AMP35312.1	vgaC
ACX92986.2	vgaD
CBY88983.1	vgaE
BAD95494.1	SAT-1
CAA88265.1	SAT-3
AAB53445.1	SAT-4
CAB12108.2	tmrB
APB03218.1	BahA
CAA26235.1	vph
AHH86051.1	EdeQ
Q8FW76	mprF-Brsu
CAX52582.1	mprF-Bsu
Q0SSM7	mprF-Cpe
NP_465220	mprF-Lmo
Q8DWT2	mprF-Sag
AAC76093.1	bacA
AAA99503.1	bcrC
AAA99931.1	tsnR
AAC75315.1	anrA-clusterA
NP_252244	arnA-clusterB
AEX49906.1	basS
AKF16168	MCR-1/2
WP_065419574.1	MCR-1/2
ANR95875.1	MCR-1/2
ASF81896.1	MCR-3
BAG33043.1	pgpB
BAE78116.1	PmrC
AAC75089.1	PmrE
AAC75314.1	PmrF
AAA99504.1	bcrA
AAA99505.1	bcrB
AAC60781.1	rosA
AAC60780.1	rosB
NP_416715.1	YojI
APB03219.1	TaeA
AAC05822.1	arr-1
ACD56151.1	arr-2/3
AAC64366.1	arr-2/3
ABV26705.1	arr-4/7
CAZ48628.1	arr-4/7
ABV26707.1	arr-5
AGC29882.1	arr-8
AAB41059.1	iri
AFO53532.1	rgt1438
AIA08936.1	rphA
APB03222.1	rphB
ADV91011.1	RbpA
NP_373280.1	mecI
AQX82857.1	mecD
YP_003281576.1	mgrA
AAC76296.1	AcrS
AGV28567.1	adeN
YP_002343805.1	cmeR
BAE77933.1	CRP
NP_417169.1	emrR
YP_001440920.1	mepR
NP_252368.1	MexL
ABU39978.1	blaI
YP_002002225.1	mtrR
AEJ33969.1	sul1
AAL59753.1	sul2
ACJ63260.1	sul3
AAN28721.1	tet37
AAA27471.1	tetX
BAB59035.1	tet34
CAA37477.1	otr(A)
CAC41371.1	tet32
CAD55718.1	tet36
CBH51823.1	tet44
AAA20117.1	tetB(P)
CAJ67339.1	tetM
AAA23033.1	tetO
CAA79727.1	tetQ
AAA25293.1	tetS
AAF01499.1	tetT
ACA23185.1	tetW
AAD04032.1	otr(B)
AAR96051.1	otrC
BAA07390.1	tcr3
AAD09860.1	tet(30)
CAC80727.1	tet(31)
CAD12227.1	tet(33)
AAK37619.1	tet(35)
AAV80464.1	tet(38)
AAW66497.1	tet(39)
AFK31666.1	tet(40)
AAP93922.1	tet(41)
ACD35503.1	tet(42)
ACS83748.1	tet(43)
ADE08374.2	tet(45)
BAC67143.1	tet(A/B)
YP_007503840.1	tet(A/B)
AAO16462.1	tet(C)
CAE51745.1	tet(D)
AAA71915.1	tet(E)
AAD25538.1	tet(G)
CAA75663.1	tet(H)
AAD12753.1	tet(J)
YP_003283625.1	tet(K)
AAA22851.1	tet(L)
AAB84282.1	tet(V)
AAC72341.1	tet(Y)
AAD25063.1	tet(Z)
AET10444.1	tetA(46)
APB03214.1	tetA(48)
ANZ79240.1	tetA(60)
AAA20116.1	tetA(P)
AET10445.1	tetB(46)
APB03215.1	tetB(48)
ANZ79241.1	tetB(60)
ADM92605.1	adeR
ADM92606.1	adeS
NP_253661.1	OpmH
NP_248846.1	TriA
NP_248847.1	TriB
NP_248848.1	TriC
AHG97174.1	dfrA10
CAC81324.1	dfrA19
CAE53424.1	dfrA20
CAG34233.2	dfrA23
CAI99385.1	dfrA24
CAL48457.1	dfrA26
AAX84553.1	dfrA2d
AAA25550.1	dfrA3
AHV80711.1	dfrA8
CAA90683.1	dfrA-clusterA
CAP69659.1	dfrA-clusterA
AHW42429.1	dfrA-clusterA
CAX16467.1	dfrA-clusterA
ABG91835.1	dfrA-clusterB
ACS44716.1	dfrA-clusterB
ABB71176.1	dfrA-clusterC
ABB89122.1	dfrA-clusterC
ACI32877.1	dfrA-clusterC
CAC19929.1	dfrA-clusterD
AAK60186.1	dfrA-clusterD
AHB39758.1	dfrA-clusterD
ADO00942.1	dfrB1/6
AAN41433.1	dfrB1/6
ACR57831.1	dfrB2/3
FAA00064.1	dfrB2/3
AAO04716.1	dfrC
AAA85213.1	dfrD
AAD01867.1	dfrE
AAD01868.1	dfrF
BAE15963.1	dfrG/K
CBL80435.1	dfrG/K
